avanzar 41 metros
avanzar 18467 metros
avanzar 6334 metros
girar 64 grados
avanzar 11478 metros
avanzar 29358 metros
avanzar 5705 metros
girar 65 grados
avanzar 23281 metros
avanzar 491 metros
avanzar 2995 metros
girar 62 grados
avanzar 32391 metros
avanzar 14604 metros
avanzar 3902 metros
avanzar 12382 metros
avanzar 17421 metros
avanzar 18716 metros
girar 47 grados
avanzar 21726 metros
avanzar 14771 metros
avanzar 19912 metros
girar 107 grados
avanzar 26299 metros
avanzar 28703 metros
avanzar 23811 metros
girar 2 grados
avanzar 4664 metros
avanzar 15141 metros
avanzar 7711 metros
avanzar 25547 metros
avanzar 27644 metros
avanzar 32662 metros
girar 79 grados
avanzar 8723 metros
avanzar 9741 metros
avanzar 12316 metros
girar 155 grados
avanzar 22190 metros
avanzar 30106 metros
avanzar 9040 metros
girar 122 grados
avanzar 27446 metros
avanzar 23805 metros
avanzar 15890 metros
avanzar 15350 metros
avanzar 15006 metros
avanzar 31101 metros
girar 9 grados
avanzar 12623 metros
avanzar 24084 metros
avanzar 11840 metros
girar 106 grados
avanzar 7376 metros
avanzar 16944 metros
avanzar 32439 metros
girar 146 grados
avanzar 21538 metros
avanzar 16118 metros
avanzar 2082 metros
avanzar 4833 metros
avanzar 31115 metros
avanzar 4639 metros
girar 30 grados
avanzar 13977 metros
avanzar 2306 metros
avanzar 5021 metros
girar 125 grados
avanzar 26924 metros
avanzar 5829 metros
avanzar 26777 metros
girar 93 grados
avanzar 23986 metros
avanzar 13290 metros
avanzar 9161 metros
avanzar 24767 metros
avanzar 23655 metros
avanzar 15574 metros
girar 170 grados
avanzar 1150 metros
avanzar 16941 metros
avanzar 3430 metros
girar 147 grados
avanzar 30191 metros
avanzar 15457 metros
avanzar 12287 metros
girar 33 grados
avanzar 8909 metros
avanzar 32209 metros
avanzar 9758 metros
avanzar 6422 metros
avanzar 24946 metros
avanzar 27506 metros
girar 8 grados
avanzar 900 metros
avanzar 32591 metros
avanzar 17410 metros
girar 59 grados
avanzar 27624 metros
avanzar 6483 metros
avanzar 27595 metros
girar 81 grados
avanzar 10291 metros
avanzar 30836 metros
avanzar 9374 metros
avanzar 24021 metros
avanzar 27348 metros
avanzar 23199 metros
girar 1 grados
avanzar 4734 metros
avanzar 53 metros
avanzar 27938 metros
girar 60 grados
avanzar 3788 metros
avanzar 3728 metros
avanzar 14893 metros
girar 168 grados
avanzar 2421 metros
avanzar 14310 metros
avanzar 6617 metros
avanzar 14309 metros
avanzar 7616 metros
avanzar 18935 metros
girar 29 grados
avanzar 16519 metros
avanzar 31556 metros
avanzar 6224 metros
girar 28 grados
avanzar 5844 metros
avanzar 32702 metros
avanzar 3195 metros
girar 145 grados
avanzar 30523 metros
avanzar 1587 metros
avanzar 29314 metros
avanzar 25200 metros
avanzar 13458 metros
avanzar 6618 metros
girar 38 grados
avanzar 15281 metros
avanzar 19589 metros
avanzar 27157 metros
girar 132 grados
avanzar 23622 metros
avanzar 6038 metros
avanzar 24179 metros
girar 10 grados
avanzar 6191 metros
avanzar 19815 metros
avanzar 22888 metros
avanzar 16202 metros
avanzar 2634 metros
avanzar 24272 metros
girar 146 grados
avanzar 26362 metros
avanzar 4886 metros
avanzar 29869 metros
girar 162 grados
avanzar 23844 metros
avanzar 31998 metros
avanzar 10322 metros
girar 111 grados
avanzar 3557 metros
avanzar 28476 metros
avanzar 27892 metros
avanzar 10712 metros
avanzar 2600 metros
avanzar 2510 metros
girar 41 grados
avanzar 14688 metros
